12107                     4 1400574                    
1212                      2 3592680                    
12126                     2 1399272                    
1213                      3 3592722                    
12150                     1 1401309                    
121517                    3 5200188                    
121534                    1 5202561                    
12163                     1 1401561                    
121663                    1 5186139                    
12187                     2 1404690                    
12191                     2 1403787                    
122                       12 1118229                   
12205                     2 1395576                    
1221                      2 3591063                    
12213                     1 1422582                    
122224                    2 4455759                    
122264                    2 4458342                    
12227                     2 1423632                    
1223                      2 3591021                    
122454                    2 4570146                    
1225                      2 3590979                    
122557                    1 4550721                    
122582                    2 4554081                    
122697                    2 4531212                    
12275                     2 1427013                    
122761                    2 4501245                    
122775                    3 4502736                    
122789                    2 4502274                    
12291                     1 1428084                    
123                       16 1118481                   
1230                      2 3590937                    
1232                      1 3590706                    
123272                    1 4993443                    
123348                    2 1072029                    
123526                    2 1180053                    
123986                    2 1054200                    
124                       8 1118817                    
12407                     3 4550322                    
1241                      3 3590643                    
12418                     1 4551561                    
124248                    2 1242444                    
124251                    1 1242255                    
12436                     1 4552254                    
124421                    2 1328649                    
1245                      2 3590370                    
124503                    2 1255086                    
124536                    2 1284255                    
124545                    2 1282260                    
124558                    4 1279446                    
124657                    2 511056                     
12467                     1 4568403                    
12479                     1 4566870                    
1249                      2 3590412                    
124972                    2 503076                     
125                       76 1114071                   
1250                      3 3590307                    
125035                    2 708078                     
12517                     1 4563741                    
125236                    1 678174                     
12528                     1 4563237                    
125446                    1 639534                     
125493                    2 638085                     
12554                     2 4565253                    
125553                    2 617232                     
12579                     2 4505928                    
1258                      5 3589950                    
12581                     1 4505970                    
12584                     2 4506096                    
125977                    2 2589195                    
126                       11 1117347                   
1260                      2 3589698                    
12600                     1 4494987                    
12621                     1 4501917                    
126259                    1 3163335                    
12631                     2 4503513                    
126539                    2 2826999                    
12658                     1 4499145                    
1268                      2 3588711                    
126920                    2 2924397                    
127                       10 1117578                   
127260                    1 2267265                    
1273                      2 3588438                    
127463                    1 2266131                    
12751                     2 4523631                    
